ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,33090,SUMMARY.TXT,0.24441,0.39342,0.30151,4

ROUGE-1+StopWordRemoval,33090,SUMMARY.TXT,0.18664,0.52090,0.27481,4

ROUGE-2+StopWordRemoval,33090,SUMMARY.TXT,0.09052,0.20264,0.12514,4

ROUGE-SU4+StopWordRemoval,33090,SUMMARY.TXT,0.12563,0.23489,0.16371,4

ROUGE-L+StopWordRemoval,30817,SUMMARY.TXT,0.32870,0.30489,0.31635,3

ROUGE-1+StopWordRemoval,30817,SUMMARY.TXT,0.35233,0.44795,0.39443,3

ROUGE-2+StopWordRemoval,30817,SUMMARY.TXT,0.19544,0.19745,0.19644,3

ROUGE-SU4+StopWordRemoval,30817,SUMMARY.TXT,0.24318,0.22800,0.23535,3

ROUGE-L+StopWordRemoval,30816,SUMMARY.TXT,0.20149,0.46612,0.28136,3

ROUGE-1+StopWordRemoval,30816,SUMMARY.TXT,0.15572,0.57791,0.24533,3

ROUGE-2+StopWordRemoval,30816,SUMMARY.TXT,0.06304,0.20238,0.09614,3

ROUGE-SU4+StopWordRemoval,30816,SUMMARY.TXT,0.08084,0.24511,0.12158,3

ROUGE-L+StopWordRemoval,30819,SUMMARY.TXT,0.25103,0.39574,0.30719,4

ROUGE-1+StopWordRemoval,30819,SUMMARY.TXT,0.22347,0.52621,0.31371,4

ROUGE-2+StopWordRemoval,30819,SUMMARY.TXT,0.10668,0.19879,0.13885,4

ROUGE-SU4+StopWordRemoval,30819,SUMMARY.TXT,0.14994,0.23000,0.18154,4

ROUGE-L+StopWordRemoval,33097,SUMMARY.TXT,0.21091,0.36078,0.26620,3

ROUGE-1+StopWordRemoval,33097,SUMMARY.TXT,0.20501,0.52314,0.29458,3

ROUGE-2+StopWordRemoval,33097,SUMMARY.TXT,0.06251,0.14513,0.08738,3

ROUGE-SU4+StopWordRemoval,33097,SUMMARY.TXT,0.10345,0.21153,0.13895,3

ROUGE-L+StopWordRemoval,33098,SUMMARY.TXT,0.27144,0.63743,0.38074,3

ROUGE-1+StopWordRemoval,33098,SUMMARY.TXT,0.16147,0.74630,0.26549,3

ROUGE-2+StopWordRemoval,33098,SUMMARY.TXT,0.10111,0.44635,0.16487,3

ROUGE-SU4+StopWordRemoval,33098,SUMMARY.TXT,0.12240,0.45269,0.19270,3

ROUGE-L+StopWordRemoval,32688,SUMMARY.TXT,0.26082,0.43410,0.32585,4

ROUGE-1+StopWordRemoval,32688,SUMMARY.TXT,0.20135,0.53819,0.29306,4

ROUGE-2+StopWordRemoval,32688,SUMMARY.TXT,0.09644,0.22158,0.13439,4

ROUGE-SU4+StopWordRemoval,32688,SUMMARY.TXT,0.13666,0.24163,0.17458,4

ROUGE-L+StopWordRemoval,31478,SUMMARY.TXT,0.26908,0.52285,0.35530,3

ROUGE-1+StopWordRemoval,31478,SUMMARY.TXT,0.20193,0.62678,0.30545,3

ROUGE-2+StopWordRemoval,31478,SUMMARY.TXT,0.09061,0.26267,0.13474,3

ROUGE-SU4+StopWordRemoval,31478,SUMMARY.TXT,0.13178,0.30901,0.18476,3

ROUGE-L+StopWordRemoval,31114,SUMMARY.TXT,0.28522,0.42537,0.34147,4

ROUGE-1+StopWordRemoval,31114,SUMMARY.TXT,0.25385,0.51701,0.34051,4

ROUGE-2+StopWordRemoval,31114,SUMMARY.TXT,0.11835,0.23887,0.15828,4

ROUGE-SU4+StopWordRemoval,31114,SUMMARY.TXT,0.17241,0.26622,0.20929,4

ROUGE-L+StopWordRemoval,32562,SUMMARY.TXT,0.43049,0.27350,0.33449,3

ROUGE-1+StopWordRemoval,32562,SUMMARY.TXT,0.48358,0.33468,0.39558,3

ROUGE-2+StopWordRemoval,32562,SUMMARY.TXT,0.21779,0.12753,0.16086,3

ROUGE-SU4+StopWordRemoval,32562,SUMMARY.TXT,0.31581,0.14496,0.19871,3

ROUGE-L+StopWordRemoval,32684,SUMMARY.TXT,0.24055,0.54651,0.33406,4

ROUGE-1+StopWordRemoval,32684,SUMMARY.TXT,0.19711,0.66507,0.30409,4

ROUGE-2+StopWordRemoval,32684,SUMMARY.TXT,0.08845,0.31010,0.13764,4

ROUGE-SU4+StopWordRemoval,32684,SUMMARY.TXT,0.12384,0.34831,0.18271,4

ROUGE-L+StopWordRemoval,31595,SUMMARY.TXT,0.31642,0.33333,0.32465,3

ROUGE-1+StopWordRemoval,31595,SUMMARY.TXT,0.34901,0.44144,0.38982,3

ROUGE-2+StopWordRemoval,31595,SUMMARY.TXT,0.15569,0.15023,0.15291,3

ROUGE-SU4+StopWordRemoval,31595,SUMMARY.TXT,0.21352,0.19186,0.20211,3

ROUGE-L+StopWordRemoval,31474,SUMMARY.TXT,0.36241,0.36563,0.36401,3

ROUGE-1+StopWordRemoval,31474,SUMMARY.TXT,0.35941,0.45988,0.40348,3

